Field Name	Type	System	Content Pack
Abnormal Security Abuse Campaign Attack Type	Short Text	Yes	Abnormal Security
Abnormal Security Abuse Campaign First Reported	Short Text	Yes	Abnormal Security
Abnormal Security Abuse Campaign From Address	Short Text	Yes	Abnormal Security
Abnormal Security Abuse Campaign From Name	Short Text	Yes	Abnormal Security
Abnormal Security Abuse Campaign ID	Short Text	Yes	Abnormal Security
Abnormal Security Abuse Campaign Judgement Status	Short Text	Yes	Abnormal Security
Abnormal Security Abuse Campaign Last Reported	Short Text	Yes	Abnormal Security
Abnormal Security Abuse Campaign Message ID	Short Text	Yes	Abnormal Security
Abnormal Security Abuse Campaign Overall Status	Short Text	Yes	Abnormal Security
Abnormal Security Abuse Campaign Recipient Address	Short Text	Yes	Abnormal Security
Abnormal Security Abuse Campaign Recipient Name	Short Text	Yes	Abnormal Security
Abnormal Security Abuse Campaign Subject	Short Text	Yes	Abnormal Security
Abnormal Security Affected Employee	Short Text	Yes	Abnormal Security
Abnormal Security Analysis	Short Text	Yes	Abnormal Security
Abnormal Security Attachment Count	Number	Yes	Abnormal Security
Abnormal Security Attachment Names	Multi Select	Yes	Abnormal Security
Abnormal Security Attacked Party	Short Text	Yes	Abnormal Security
Abnormal Security Attack Strategy	Short Text	Yes	Abnormal Security
Abnormal Security Attack Type	Short Text	Yes	Abnormal Security
Abnormal Security Attack Vector	Short Text	Yes	Abnormal Security
Abnormal Security Auto Remediated	Short Text	Yes	Abnormal Security
Abnormal Security Campaign ID	Short Text	Yes	Abnormal Security
Abnormal Security Case GenAI Summary	Long Text	Yes	Abnormal Security
Abnormal Security Case ID	Short Text	Yes	Abnormal Security
Abnormal Security Case Status	Short Text	Yes	Abnormal Security
Abnormal Security CC Emails	Multi Select	Yes	Abnormal Security
Abnormal Security Customer Visible Time	Short Text	Yes	Abnormal Security
Abnormal Security First Observed Time	Short Text	Yes	Abnormal Security
Abnormal Security First Reported	Short Text	Yes	Abnormal Security
Abnormal Security From Address	Short Text	Yes	Abnormal Security
Abnormal Security From Name	Short Text	Yes	Abnormal Security
Abnormal Security Impersonated Party	Short Text	Yes	Abnormal Security
Abnormal Security Internet Message ID	Short Text	Yes	Abnormal Security
Abnormal Security Is Read	Short Text	Yes	Abnormal Security
Abnormal Security Judgement Status	Short Text	Yes	Abnormal Security
Abnormal Security Last Reported	Short Text	Yes	Abnormal Security
Abnormal Security Message ID	Short Text	Yes	Abnormal Security
Abnormal Security Overall Status	Short Text	Yes	Abnormal Security
