_time	vendor_name	product_name	severity	finding_id	finding_name	finding_description	issue_type	issue_category	issue_status	remediation	impact	target_ipv4_raw	target_country	asset_id_primary	posture_category	identify_finding_acknowledged	identify_misconfig_summary	alert_name	alert_description	originalalertid	originalalertname	_insert_time
Jun 22 2026 15:34:08	Palo Alto Networks	Cortex Xpanse	high	893358	LiteLLM at 101.200.158.109:17212	LiteLLM is a library that unifies API calls to various large language models. It provides a consistent interface and handles features like retries, fallbacks, logging, caching, and cost management across different LLM providers. HTTP data is used to identify this technology. Version information is identified where available.	LiteLLM	CONFIGURATION	UNDER_INVESTIGATION	"Exposing LiteLLM to the public internet introduces risks of unauthorized access, data compromise, and potential abuse of integrated large language models, leading to service disruption or unintended resource consumption.

To mitigate these risks, implement the following security measures:

1.  Restrict network access to LiteLLM instances using firewalls and security groups, allowing connections only from trusted IP addresses or internal networks.
2.  Implement robust authentication mechanisms for accessing the LiteLLM API, such as API keys or token-based authentication, and ensure these credentials are securely managed.
3.  Regularly review and audit access logs for LiteLLM and its underlying infrastructure to detect and respond to suspicious activity.
4.  Keep LiteLLM and all integrated components, including operating systems, libraries, and language models, updated to their latest stable versions to benefit from security patches.
5.  Configure rate limiting and request throttling to prevent abuse, denial-of-service attacks, and excessive consumption of integrated LLM services.
6.  Ensure that any sensitive data processed by LiteLLM is encrypted in transit and at rest, and that data retention policies are strictly enforced."		101.200.158.109	UNKNOWN	09d8e6a11f3959da916cf5fc2fc70fc8fdbfdc649523aed806b467f555c9c3f3	posture_misconfig	true	LiteLLM | LiteLLM at 101.200.158.109:17212 | Severity: HIGH	[Posture] Cortex Xpanse | LiteLLM | LiteLLM at 101.200.158.109:17212	LiteLLM is a library that unifies API calls to various large language models. It provides a consistent interface and handles features like retries, fallbacks, logging, caching, and cost management across different LLM providers. HTTP data is used to identify this technology. Version information is identified where available.	893358	LiteLLM at 101.200.158.109:17212	Jun 22 2026 15:34:19
Jun 23 2026 06:49:10	Palo Alto Networks	Cortex Xpanse	medium	898316	PHPMyAdmin at 101.200.158.109:3486	This issue identifies web-based login portals for phpMyAdmin, an open-source web application that acts as an administration interface for MySQL and MariaDB databases. Public-facing admin login pages for databases are considered to be highly sensitive exposures and should not be publicly available on the internet.	PhpMyAdmin	CONFIGURATION	UNDER_INVESTIGATION	"It is considered a best practice for databases not to be publicly accessible over the internet as it puts organizations at risk for data leaks or manipulation by malicious actors.

Xpanse recommends securing your database software by taking the following steps:

1. Isolate the database from the public internet by placing it behind a VPN.
2. If there is a strong business case for public accessibility, all database instances should be reachable only through a firewall. Only necessary ports should be open, and running services or third-party integrations should be audited regularly.
3. Implement strong authentication and authorization mechanisms, such as role-based access control, to ensure only authorized users have access. All access control policies should follow the principle of least privilege.
4. Ensure that database instances are up-to-date with the latest security patches and version upgrades to protect against known vulnerabilities.
5. Enable encryption for data transmission (e.g., HTTPS) and storage (encryption-at-rest) to protect sensitive data from unauthorized access and tampering.
6. Employ monitoring and intrusion detection tools to identify and respond to suspicious activities or potential security breaches on database instances. Regularly review access logs and server configurations to ensure security best practices are followed."		101.200.158.109	UNKNOWN	3e46f8c00d1543ded115a2e3d86e277f86a0e7e590ef0693e651203ce5225367	posture_misconfig	true	PhpMyAdmin | PHPMyAdmin at 101.200.158.109:3486 | Severity: MEDIUM	[Posture] Cortex Xpanse | PhpMyAdmin | PHPMyAdmin at 101.200.158.109:3486	This issue identifies web-based login portals for phpMyAdmin, an open-source web application that acts as an administration interface for MySQL and MariaDB databases. Public-facing admin login pages for databases are considered to be highly sensitive exposures and should not be publicly available on the internet.	898316	PHPMyAdmin at 101.200.158.109:3486	Jun 23 2026 06:49:19
Jun 23 2026 09:19:15	Palo Alto Networks	Cortex Xpanse	medium	898596	Splunk Platform at 8.130.54.67:8139	The Splunk platform is mainly used for searching, monitoring, and examining large data sets through a web-style interface. Splunk performs capturing, indexing, and correlating the real-time data in a searchable container from which it can produce graphs, reports, alerts, dashboards, and visualizations. Splunk has a variety of use cases, including application management, security, compliance, as well as business and web analytics. This issue can identify Splunk Enterprise and Splunk Cloud login portals. Version numbers are not identified.	SplunkPlatform	CONFIGURATION	UNDER_INVESTIGATION	"If you have an exposed instance of Splunk Enterprise, it is important to take immediate action to remediate the exposed device. Here are some steps you can take to remediate the issue:

1. Determine if your instance of Splunk is fully patched or if it may be vulnerable. If the product is not up to date, apply patches as soon as possible.
2. If you device must be public facing ensure proper security controls are in place to mitigate nefarious actions on the host. If the instance is accessible over the internet, you should immediately restrict access to it. You can do this by configuring the firewall to block unauthorized traffic to the instance, or by using a VPN to access it securely.
3. Once you have secured the instance, you should review the logs to determine if any sensitive data was accessed. If you find any evidence of data exfiltration, you should take additional steps to remediate the situation, such as notifying affected parties and reporting the incident to the appropriate authorities.
4. After you have reviewed the logs, you should update the configuration of the instance to prevent similar incidents from occurring in the future. This could include implementing access controls, configuring logging and monitoring, and configuring alerts to notify you of any unusual activity."		8.130.54.67	UNKNOWN	0833710a035cfcf1409ad3a3226a624005c586d046241130b21c14c07700bf3e	posture_misconfig	true	SplunkPlatform | Splunk Platform at 8.130.54.67:8139 | Severity: MEDIUM	[Posture] Cortex Xpanse | SplunkPlatform | Splunk Platform at 8.130.54.67:8139	The Splunk platform is mainly used for searching, monitoring, and examining large data sets through a web-style interface. Splunk performs capturing, indexing, and correlating the real-time data in a searchable container from which it can produce graphs, reports, alerts, dashboards, and visualizations. Splunk has a variety of use cases, including application management, security, compliance, as well as business and web analytics. This issue can identify Splunk Enterprise and Splunk Cloud login portals. Version numbers are not identified.	898596	Splunk Platform at 8.130.54.67:8139	Jun 23 2026 09:19:34
Jun 22 2026 10:04:11	Palo Alto Networks	Cortex Xpanse	medium	893263	Ivanti Policy Secure (Pulse Policy Secure NAC) at 8.146.235.119:48880	Ivanti Policy Secure (Formerly Pulse Policy Secure NAC) is a Network Access Control (NAC) platform used for enforcing security policies and controlling network access for managed and unmanaged endpoints. The platform integrates with a variety of network solutions in order to enforce access policies. This issue identifies Ivanti Policy Secure on a host. The web portal may be surfaced, but version number is not identified.	PulsePolicySecureNAC	CONFIGURATION	UNDER_INVESTIGATION	"If you find an exposed an vulnerable instance of Ivanti Policy Secure in your environment here are some steps you can take to remediate the issue:

1. Isolate the instance to prevent any further exposure or exploitation.
2. Determine the severity of the vulnerability and the potential impact on your organization.
3. If it is determined that your environment has been compromised as a result of this exposure, take the necessary steps to contain, eradicate, and remediate the infection.
4. Check Ivanti's security advisories for any updates or patches that address the vulnerability.
5. Apply any available patches or updates to the Ivanti Policy Secure NAC instance to remediate the vulnerability.
6. Review your organization's security policies and practices to ensure that similar vulnerability exposures do not occur in the future.
7. Conduct a full security assessment of your network and infrastructure to identify any other potential vulnerabilities or compromises.
8. Proactively address any security risks to protect your organization's assets.

[Ivanti Policy Secure Best Practices](https://forums.ivanti.com/s/article/KB44152?language=en_US)"		8.146.235.119	UNKNOWN	c359816c6938c2bb9f0b01d85e431e69f628a4ec028b43cd6edc22bd56817ce9	posture_misconfig	true	PulsePolicySecureNAC | Ivanti Policy Secure (Pulse Policy Secure NAC) at 8.146.235.119:48880 | Severity: MEDIUM	[Posture] Cortex Xpanse | PulsePolicySecureNAC | Ivanti Policy Secure (Pulse Policy Secure NAC) at 8.146.235.119:48880	Ivanti Policy Secure (Formerly Pulse Policy Secure NAC) is a Network Access Control (NAC) platform used for enforcing security policies and controlling network access for managed and unmanaged endpoints. The platform integrates with a variety of network solutions in order to enforce access policies. This issue identifies Ivanti Policy Secure on a host. The web portal may be surfaced, but version number is not identified.	893263	Ivanti Policy Secure (Pulse Policy Secure NAC) at 8.146.235.119:48880	Jun 22 2026 10:04:20
Jun 23 2026 06:49:10	Palo Alto Networks	Cortex Xpanse	high	898314	Insecure SmarterTools SmarterMail (8.90.490022) at 8.130.54.67:45076	"SmarterMail is an on-premises Windows server for email, calendaring, and collaboration. It provides webmail and file sharing with full support for desktop and mobile synchronization protocols. The software includes built-in features for multi-tenant administration, security compliance, and directory integration.

This ASR specifically identifies versions of SmarterMail that are vulnerable to CVE-2026-23760.

For reference, affected versions are as follows:
* All SmarterMail Builds prior to 9511. This includes the entire 100.x release branch (e.g., 100.0.xxxx) up to Build 9510.
* Legacy versions (such as 17.x, 16.x, and earlier) that utilize the REST API are also considered vulnerable if they remain in production, as the underlying ""force-reset-password"" logic was not patched in those sunsetted versions."	InsecureSmarterToolsSmarterMail	CONFIGURATION	UNDER_INVESTIGATION	"Having SmarterTools SmarterMail accessible on the public internet exposes a high risk of unauthorized access and exploitation that can lead to account takeover, email tampering, data theft, spam relaying, service disruption, and full server compromise. CVE-2026-23760 is a critical authentication bypass vulnerability affecting SmarterMail versions prior to Build 9511. This flaw exists in the password reset API, allowing an unauthenticated attacker to reset system administrator accounts without a valid token or password. Because SmarterMail administrative privileges allow for the execution of OS commands, this vulnerability can lead to full server compromise.

Systems should be upgraded to SmarterMail Build 9511 or later immediately to address this risk.

SmarterTools SmarterMail Release Notes can be found [here](https://www.smartertools.com/smartermail/release-notes/current).

For more generic guidance for securing SmarterMail, consult the following:
1. Restrict exposure by allowing only necessary ports through a firewall and prefer publishing the service behind a reverse proxy.
2. Require strong authentication such as multi factor authentication and enforce robust password policies.
3. Limit administrative access to trusted networks and disable public access to admin interfaces.
4. Keep the operating system and SmarterMail updated and apply security patches promptly.
5. Perform regular security assessments and vulnerability scans and remediate findings quickly."		8.130.54.67	UNKNOWN	17373e25d078f56fa86f7b80a1cd1a3f9c43b6709a8feb103dcab2758fbd6953	posture_misconfig	true	InsecureSmarterToolsSmarterMail | Insecure SmarterTools SmarterMail (8.90.490022) at 8.130.54.67:45076 | Severity: HIGH	[Posture] Cortex Xpanse | InsecureSmarterToolsSmarterMail | Insecure SmarterTools SmarterMail (8.90.490022) at 8.130.54.67:45076	"SmarterMail is an on-premises Windows server for email, calendaring, and collaboration. It provides webmail and file sharing with full support for desktop and mobile synchronization protocols. The software includes built-in features for multi-tenant administration, security compliance, and directory integration.

This ASR specifically identifies versions of SmarterMail that are vulnerable to CVE-2026-23760.

For reference, affected versions are as follows:
* All SmarterMail Builds prior to 9511. This includes the entire 100.x release branch (e.g., 100.0.xxxx) up to Build 9510.
* Legacy versions (such as 17.x, 16.x, and earlier) that utilize the REST API are also considered vulnerable if they remain in production, as the underlying ""force-reset-password"" logic was not patched in those sunsetted versions."	898314	Insecure SmarterTools SmarterMail (8.90.490022) at 8.130.54.67:45076	Jun 23 2026 06:49:13
Jun 22 2026 11:04:09	Palo Alto Networks	Cortex Xpanse	medium	893284	ConnectWise ScreenConnect (21.14.5924.8013) at 8.130.54.67:6080	ConnectWise ScreenConnect (also known simply as ScreenConnect) is a remote support, access, and meeting solution that enables technicians to connect to devices or systems over the internet to provide support, manage machines, or conduct online meetings and presentations. It's designed for IT support teams and professionals, allowing them to remotely control desktops, servers, and mobile devices in real-time. Version number is identified where available.	ConnectWiseScreenConnect	CONFIGURATION	UNDER_INVESTIGATION	"If an attacker gains access to an exposed ConnectWise ScreenConnect server, they could potentially execute unauthorized remote control of connected devices and access sensitive information.

In order to remain secure, it is recommended to perform the following:
1. Place the affected device behind security controls such as a firewall and ensure that it is not directly exposed to the public internet as well as requiring users to connect via a VPN first before accessing the device.
2. Ensure only authorized users can access the server by implementing strong authentication mechanisms.
3. Regularly monitor server traffic for unusual activities that may indicate an exploit attempt."		8.130.54.67	UNKNOWN	afc3f8362e15a7b047287af1d8c68643d847506b7441418abee199c1681fc933	posture_misconfig	true	ConnectWiseScreenConnect | ConnectWise ScreenConnect (21.14.5924.8013) at 8.130.54.67:6080 | Severity: MEDIUM	[Posture] Cortex Xpanse | ConnectWiseScreenConnect | ConnectWise ScreenConnect (21.14.5924.8013) at 8.130.54.67:6080	ConnectWise ScreenConnect (also known simply as ScreenConnect) is a remote support, access, and meeting solution that enables technicians to connect to devices or systems over the internet to provide support, manage machines, or conduct online meetings and presentations. It's designed for IT support teams and professionals, allowing them to remotely control desktops, servers, and mobile devices in real-time. Version number is identified where available.	893284	ConnectWise ScreenConnect (21.14.5924.8013) at 8.130.54.67:6080	Jun 22 2026 11:04:11
Jun 22 2026 23:19:08	Palo Alto Networks	Cortex Xpanse	medium	893469	Aviatrix Controller at 101.200.158.109:9641	Aviatrix is a cloud-native networking platform for AWS, Azure, Google GCloud, and Oracle Cloud environments. This issue identifies Aviatrix Controller, which provides a central console for all provisioning, monitoring, and upgrades of the service. The web login portal may be surfaced through this issue. Version number is not identified.	AviatrixController	CONFIGURATION	UNDER_INVESTIGATION	"Aviatrix Controller may be vulnerable to CVEs such as CVE-2021-40870, which can lead to arbitrary code execution. There are several steps you should take to protect your Aviatrix Controller:

1. Keep your controller up to date with the latest security patches and updates.
2. Use strong, unique passwords for all user accounts on the server and change them regularly.
3. Implement strong access controls and limit user privileges to only what is needed to perform their job duties.
4. Use firewall rules to restrict inbound traffic to only necessary ports and protocols.
5. Enable logging and monitoring to detect and respond to any suspicious activity.
6. Consider using two-factor authentication to further secure user accounts."		101.200.158.109	UNKNOWN	37314ba537ca6c8022372b6961a9c9f302a410de3d735655ccd6fe264e074b01	posture_misconfig	true	AviatrixController | Aviatrix Controller at 101.200.158.109:9641 | Severity: MEDIUM	[Posture] Cortex Xpanse | AviatrixController | Aviatrix Controller at 101.200.158.109:9641	Aviatrix is a cloud-native networking platform for AWS, Azure, Google GCloud, and Oracle Cloud environments. This issue identifies Aviatrix Controller, which provides a central console for all provisioning, monitoring, and upgrades of the service. The web login portal may be surfaced through this issue. Version number is not identified.	893469	Aviatrix Controller at 101.200.158.109:9641	Jun 22 2026 23:19:24
Jun 23 2026 06:24:09	Palo Alto Networks	Cortex Xpanse	high	898288	RDP Server (iZw5zir93ya6keZ) at 47.92.75.233:3389	Remote Desktop Protocol (RDP) servers provide remote access to a computer over a network connection. Externally accessible RDP servers pose a significant security risk as they are frequent targets for attackers and can be vulnerable to a variety of documented exploits.	RdpServer	CONFIGURATION	UNDER_INVESTIGATION	"Recommendations to reduce the likelihood of malicious RDP attempts are as follows:

1. Best practice is to not have RDP publicly accessible on the Internet and instead only on trusted local networks.
2. Implement a risk-based approach that prioritizes patching RDP vulnerabilities that have known weaponized public exploits.
3. Limit RDP access to a specific user group and implementing lockout policies is an additional measure to protect against RDP brute-forcing which is another common tactic used by attackers. In addition, enable NLA (Network Level Authentication) which is non-default on older versions.
4. If remote access to RDP or terminal services is a business requirement, it should only be made accessible through a secure Virtual Private Network (VPN) connection with multi-factor authentication (MFA) to the corporate network or through a zero-trust remote access gateway."		47.92.75.233	UNKNOWN	2bfda1ce0337cc81f57751653f2a82642626cbbd1c5ca2e1cd3a56bd4c864c68	posture_misconfig	true	RdpServer | RDP Server (iZw5zir93ya6keZ) at 47.92.75.233:3389 | Severity: HIGH	[Posture] Cortex Xpanse | RdpServer | RDP Server (iZw5zir93ya6keZ) at 47.92.75.233:3389	Remote Desktop Protocol (RDP) servers provide remote access to a computer over a network connection. Externally accessible RDP servers pose a significant security risk as they are frequent targets for attackers and can be vulnerable to a variety of documented exploits.	898288	RDP Server (iZw5zir93ya6keZ) at 47.92.75.233:3389	Jun 23 2026 06:24:12
Jun 23 2026 06:54:09	Palo Alto Networks	Cortex Xpanse	medium	898328	AMI MegaRAC BMC at 101.200.158.109:4443	MegaRAC is a server management solution created by American Megatrends International and built on Baseboard Management Controller (BMC) technology. It is designed to provide out-of-band management capabilities to server administrators, allowing them to monitor and control server hardware. MegaRAC BMC offers a range of features, including Redfish, power management, KVM redirection, and virtual media support. Version information is not identified.	AMIMegaRACBMC	CONFIGURATION	UNDER_INVESTIGATION	"MegaRAC should not be exposed to the public internet. Threat actors who gain access to MegaRAC would be able to monitor and alter network devices. In order to protect your network, consider the following steps:

1. Disconnect MegaRAC from the public facing internet.
2. Place the server behind a secure VPN, and limit access to approved server administrators.
3. Change all the default passwords. By default, AMI MegaRAC BMC servers come with the default username and password admin:password. Change these credentials to strong, unique passwords that are hard to guess.
4. Check if there are any firmware updates available for the BMC and apply them. This will help to patch any known vulnerabilities."		101.200.158.109	UNKNOWN	2120899b69da12759acfda22ee0f5fcce53fa2f630bb33e444608fd2aed32fd5	posture_misconfig	true	AMIMegaRACBMC | AMI MegaRAC BMC at 101.200.158.109:4443 | Severity: MEDIUM	[Posture] Cortex Xpanse | AMIMegaRACBMC | AMI MegaRAC BMC at 101.200.158.109:4443	MegaRAC is a server management solution created by American Megatrends International and built on Baseboard Management Controller (BMC) technology. It is designed to provide out-of-band management capabilities to server administrators, allowing them to monitor and control server hardware. MegaRAC BMC offers a range of features, including Redfish, power management, KVM redirection, and virtual media support. Version information is not identified.	898328	AMI MegaRAC BMC at 101.200.158.109:4443	Jun 23 2026 06:54:22
Jun 22 2026 20:19:09	Palo Alto Networks	Cortex Xpanse	medium	893438	Nagios Core at 8.146.235.119:49602	Nagios Core is the monitoring and alerting engine that serves as the primary application around which other Nagios projects are built. It functions as the basic event scheduler, event processor, and alert manager for elements that are monitored, such as servers and network equipment. Nagios Core features several APIs that are used to extend its capabilities to perform additional tasks. Exposure and compromise can lead to disruption and unauthorized access to the elements monitored by Nagios Core. This policy identifies the presence of Nagios Core on a host and may identify its web management interface. It also identifies the versions of Nagios Core where possible.	NagiosCore	CONFIGURATION	UNDER_INVESTIGATION	"Having Nagios Core accessible on the public internet poses significant security risks, as it exposes the application to potential cyberattacks, unauthorized access, and data breaches. One notable vulnerability is CVE-2020-35269, which affects Nagios Core version 4.2.4 and results in Site-Wide Cross-Site Request Forgery (CSRF) in multiple functions, including adding and deleting hosts or servers. This vulnerability can be exploited by attackers to perform unauthorized actions on behalf of legitimate users.
To mitigate the risks associated with using Nagios Core on the public-facing internet, follow these steps:
1. Upgrade Nagios Core to the latest version to ensure that all known vulnerabilities, including CVE-2020-35269, are addressed. 2. Implement strong access controls, such as multi-factor authentication and role-based access control, to restrict access only to authorized users. 3. Configure firewall rules to limit exposure to the public internet, allowing access only from trusted IP addresses and networks. 4. Regularly monitor system logs, network traffic, and other security indicators to identify and respond to potential threats or unauthorized access attempts. 5. Perform periodic security audits and vulnerability assessments to identify and remediate any new security issues that may arise."		8.146.235.119	UNKNOWN	6cdab564dd9b970d252af6a28f07d60e73b2fa7e7b7ad678ad6659e0ce97dbb5	posture_misconfig	true	NagiosCore | Nagios Core at 8.146.235.119:49602 | Severity: MEDIUM	[Posture] Cortex Xpanse | NagiosCore | Nagios Core at 8.146.235.119:49602	Nagios Core is the monitoring and alerting engine that serves as the primary application around which other Nagios projects are built. It functions as the basic event scheduler, event processor, and alert manager for elements that are monitored, such as servers and network equipment. Nagios Core features several APIs that are used to extend its capabilities to perform additional tasks. Exposure and compromise can lead to disruption and unauthorized access to the elements monitored by Nagios Core. This policy identifies the presence of Nagios Core on a host and may identify its web management interface. It also identifies the versions of Nagios Core where possible.	893438	Nagios Core at 8.146.235.119:49602	Jun 22 2026 20:19:26
