_time	original_tags	xdm.issue.id	xdm.issue.name	xdm.issue.description	xdm.issue.remediation	xdm.issue.normalized_fields	xdm.issue.asset_ids	_insert_time	xdm.issue.severity
Jul 26 2026 07:48:27	DOM:Posture,DS:PANW/ASM	1114151	CrushFTP at 8.130.54.67:51005	CrushFTP is a proprietary multi-protocol, multi-platform file transfer server. CrushFTP officially supports FTP, FTPS, SFTP, HTTP, HTTPS, WebDAV and WebDAV SSL. It may be used in enterprise or home environments.	"CrushFTP has been affected by numerous security vulnerabilities, such as CVE-2023-43177. There are a number of steps that should be taken to ensure your organization remains secure.

1. Determine if this asset must be publicly accessible. If there is not clear business need for this file transfer system to be publicly accessible (for example, if it were solely used for internal use) consider removing the service from the public internet.
2. Upgrade CrushFTP to the latest secure version."	"{""xdm.finding_sources"":[""CORTEX_ATTACK_SURFACE_MANAGEMENT""],""xdm.resolution_timer"":{""runStatus"":""running"",""startDate"":""2026-07-26 11:48:39""},""xdm.source.host.os_family"":""NO_HOST"",""xdm.source.location.country"":[""UNKNOWN""],""xdm.source.process.executable.signature_status"":[""SIGNATURE_UNAVAILABLE""],""xdm.target.host.ipv4_addresses"":[""8.130.54.67""],""xdm.target.host.ipv6_addresses"":[],""xdm.target.ipv4"":[""8.130.54.67""],""xdm.target.ipv6"":[],""xdm.target.port"":[51005],""xdm.target.process.executable.signature_status"":[""SIGNATURE_UNAVAILABLE""]}"	e27855b718be731e15d78d334fb31ff4f018ede0e5a1f68f19eefaae1f4ca81a	Jul 26 2026 07:48:39	MEDIUM
Jul 26 2026 07:18:27	DOM:Posture,DS:PANW/ASM	1114150	OpenSSH (7.4) at 139.224.100.34:55044	OpenSSH is a suite of open source secure networking utilities based on the Secure Shell (SSH) protocol, which provides a secure channel over an unsecured network in a client-server architecture. OpenSSH provides secure alternatives to unencrypted protocols like Telnet and FTP. This issue identifies observed versions of OpenSSH.	"Having OpenSSH accessible on the public internet poses several security risks, as it can potentially expose your systems to unauthorized access, data breaches, and other malicious activities. One notable vulnerability is CVE-2002-0083, which affects OpenSSH versions 2.0 through 3.0.2. This off-by-one error in the channel code allows local users or remote malicious servers to gain privileges, compromising the security of your system.
To mitigate the risks associated with using OpenSSH, follow these steps:
1. Upgrade to the latest available version of OpenSSH to safeguard your system from known vulnerabilities. 2. Limit access to OpenSSH by configuring your firewall to only allow connections from trusted IP addresses. 3. Use strong authentication methods, such as public key authentication, and disable weak authentication methods like password-based authentication. 4. Implement regular security updates and patches to ensure that your OpenSSH installation is protected against newly discovered vulnerabilities. 5. Monitor logs and system activities for any signs of unauthorized access or suspicious behavior."	"{""xdm.finding_sources"":[""CORTEX_ATTACK_SURFACE_MANAGEMENT""],""xdm.resolution_timer"":{""runStatus"":""running"",""startDate"":""2026-07-26 11:18:31""},""xdm.source.host.os_family"":""NO_HOST"",""xdm.source.location.country"":[""UNKNOWN""],""xdm.source.process.executable.signature_status"":[""SIGNATURE_UNAVAILABLE""],""xdm.target.host.ipv4_addresses"":[""139.224.100.34""],""xdm.target.host.ipv6_addresses"":[],""xdm.target.ipv4"":[""139.224.100.34""],""xdm.target.ipv6"":[],""xdm.target.port"":[55044],""xdm.target.process.executable.signature_status"":[""SIGNATURE_UNAVAILABLE""]}"	f6a4a5d0638883f17ebc386822060cc248894e12d02f3a78bbe9ed2767279f94	Jul 26 2026 07:18:31	MEDIUM
Jul 26 2026 07:03:30	DOM:Posture,DS:PANW/ASM	1114149	Insecure InfluxData InfluxDB (2.7.5) at 8.146.235.119:53208	InfluxDB is an open-source time series database developed by InfluxData for storing metrics, events, and other timestamped data. It ingests high-write-volume streams from application, infrastructure, and sensor sources and exposes them through an HTTP API and a web interface. Users query the stored series with InfluxQL or the Flux query language and typically pair the database with visualization and alerting tools. Instances run either as a single node or in a clustered configuration and can be self-hosted or consumed as a managed service.  This policy identifies InfluxDB instances that are vulnerable to CVE-2024-30896.	"Exposing InfluxDB OSS 2.x through 2.7.11 to the public internet creates risk of CVE-2024-30896, which allows any authenticated user with read access to the authorization resource of the default organization to retrieve the administrative operator token, resulting in full administrative control of the database. An attacker who obtains the operator token can read, tamper with, or destroy all time series data in the deployment and create, modify, or revoke any other authorization token.

Take the following steps to reduce the risk if the product is internet facing:

1. Upgrade InfluxDB OSS 2.x to version 2.8.0 or later, which removes the ability to retrieve the operator token through the API and closes CVE-2024-30896.
2. If upgrade is not immediately possible, restrict membership of the default organization to a minimal set of trusted administrators and revoke the operator token, then create scoped replacement tokens for each client under non-default organizations.
3. Place the database behind a VPN or restrict network access to a known set of source addresses at the firewall or load balancer so that the API is not reachable from the public internet.
4. Serve the API over TLS and use scoped tokens with the minimum privileges required for each client instead of a shared administrator token.
5. Monitor authorization API calls and query logs for signs of token enumeration, such as unexpected calls to `/api/v2/authorizations` or `influx auth ls` invocations from unfamiliar sources."	"{""xdm.finding_sources"":[""CORTEX_ATTACK_SURFACE_MANAGEMENT""],""xdm.resolution_timer"":{""runStatus"":""running"",""startDate"":""2026-07-26 11:03:46""},""xdm.source.host.os_family"":""NO_HOST"",""xdm.source.location.country"":[""UNKNOWN""],""xdm.source.process.executable.signature_status"":[""SIGNATURE_UNAVAILABLE""],""xdm.target.host.ipv4_addresses"":[""8.146.235.119""],""xdm.target.host.ipv6_addresses"":[],""xdm.target.ipv4"":[""8.146.235.119""],""xdm.target.ipv6"":[],""xdm.target.port"":[53208],""xdm.target.process.executable.signature_status"":[""SIGNATURE_UNAVAILABLE""]}"	4be474cf26f04f37204ff2c815a5fa9007a24b131724a9e0724c6af7569d452d	Jul 26 2026 07:03:47	HIGH
Jul 26 2026 06:38:28	DOM:Posture,DS:PANW/ASM	1114147	Insecure InfluxData InfluxDB (2.7.5) at 8.146.235.119:45820	InfluxDB is an open-source time series database developed by InfluxData for storing metrics, events, and other timestamped data. It ingests high-write-volume streams from application, infrastructure, and sensor sources and exposes them through an HTTP API and a web interface. Users query the stored series with InfluxQL or the Flux query language and typically pair the database with visualization and alerting tools. Instances run either as a single node or in a clustered configuration and can be self-hosted or consumed as a managed service.  This policy identifies InfluxDB instances that are vulnerable to CVE-2024-30896.	"Exposing InfluxDB OSS 2.x through 2.7.11 to the public internet creates risk of CVE-2024-30896, which allows any authenticated user with read access to the authorization resource of the default organization to retrieve the administrative operator token, resulting in full administrative control of the database. An attacker who obtains the operator token can read, tamper with, or destroy all time series data in the deployment and create, modify, or revoke any other authorization token.

Take the following steps to reduce the risk if the product is internet facing:

1. Upgrade InfluxDB OSS 2.x to version 2.8.0 or later, which removes the ability to retrieve the operator token through the API and closes CVE-2024-30896.
2. If upgrade is not immediately possible, restrict membership of the default organization to a minimal set of trusted administrators and revoke the operator token, then create scoped replacement tokens for each client under non-default organizations.
3. Place the database behind a VPN or restrict network access to a known set of source addresses at the firewall or load balancer so that the API is not reachable from the public internet.
4. Serve the API over TLS and use scoped tokens with the minimum privileges required for each client instead of a shared administrator token.
5. Monitor authorization API calls and query logs for signs of token enumeration, such as unexpected calls to `/api/v2/authorizations` or `influx auth ls` invocations from unfamiliar sources."	"{""xdm.finding_sources"":[""CORTEX_ATTACK_SURFACE_MANAGEMENT""],""xdm.resolution_timer"":{""runStatus"":""running"",""startDate"":""2026-07-26 10:38:36""},""xdm.source.host.os_family"":""NO_HOST"",""xdm.source.location.country"":[""UNKNOWN""],""xdm.source.process.executable.signature_status"":[""SIGNATURE_UNAVAILABLE""],""xdm.target.host.ipv4_addresses"":[""8.146.235.119""],""xdm.target.host.ipv6_addresses"":[],""xdm.target.ipv4"":[""8.146.235.119""],""xdm.target.ipv6"":[],""xdm.target.port"":[45820],""xdm.target.process.executable.signature_status"":[""SIGNATURE_UNAVAILABLE""]}"	90029b06cdc8ddda35e5e1106a12585d5bfe1b191617e30d30e2f0aa9db93103	Jul 26 2026 06:38:36	HIGH
Jul 26 2026 06:38:28	DOM:Posture,DS:PANW/ASM	1114148	OpenSSH (7.4) at 139.224.100.34:35164	OpenSSH is a suite of open source secure networking utilities based on the Secure Shell (SSH) protocol, which provides a secure channel over an unsecured network in a client-server architecture. OpenSSH provides secure alternatives to unencrypted protocols like Telnet and FTP. This issue identifies observed versions of OpenSSH.	"Having OpenSSH accessible on the public internet poses several security risks, as it can potentially expose your systems to unauthorized access, data breaches, and other malicious activities. One notable vulnerability is CVE-2002-0083, which affects OpenSSH versions 2.0 through 3.0.2. This off-by-one error in the channel code allows local users or remote malicious servers to gain privileges, compromising the security of your system.
To mitigate the risks associated with using OpenSSH, follow these steps:
1. Upgrade to the latest available version of OpenSSH to safeguard your system from known vulnerabilities. 2. Limit access to OpenSSH by configuring your firewall to only allow connections from trusted IP addresses. 3. Use strong authentication methods, such as public key authentication, and disable weak authentication methods like password-based authentication. 4. Implement regular security updates and patches to ensure that your OpenSSH installation is protected against newly discovered vulnerabilities. 5. Monitor logs and system activities for any signs of unauthorized access or suspicious behavior."	"{""xdm.finding_sources"":[""CORTEX_ATTACK_SURFACE_MANAGEMENT""],""xdm.resolution_timer"":{""runStatus"":""running"",""startDate"":""2026-07-26 10:38:40""},""xdm.source.host.os_family"":""NO_HOST"",""xdm.source.location.country"":[""UNKNOWN""],""xdm.source.process.executable.signature_status"":[""SIGNATURE_UNAVAILABLE""],""xdm.target.host.ipv4_addresses"":[""139.224.100.34""],""xdm.target.host.ipv6_addresses"":[],""xdm.target.ipv4"":[""139.224.100.34""],""xdm.target.ipv6"":[],""xdm.target.port"":[35164],""xdm.target.process.executable.signature_status"":[""SIGNATURE_UNAVAILABLE""]}"	a464e4424dc3ad5d0dc35e8c9db646c835a316cb61e0de71c0a79e25076461d5	Jul 26 2026 06:38:40	MEDIUM
Jul 26 2026 06:33:33	DOM:Posture,DS:PANW/ASM	1114146	Insecure InfluxData InfluxDB (2.7.5) at 8.146.235.119:9718	InfluxDB is an open-source time series database developed by InfluxData for storing metrics, events, and other timestamped data. It ingests high-write-volume streams from application, infrastructure, and sensor sources and exposes them through an HTTP API and a web interface. Users query the stored series with InfluxQL or the Flux query language and typically pair the database with visualization and alerting tools. Instances run either as a single node or in a clustered configuration and can be self-hosted or consumed as a managed service.  This policy identifies InfluxDB instances that are vulnerable to CVE-2024-30896.	"Exposing InfluxDB OSS 2.x through 2.7.11 to the public internet creates risk of CVE-2024-30896, which allows any authenticated user with read access to the authorization resource of the default organization to retrieve the administrative operator token, resulting in full administrative control of the database. An attacker who obtains the operator token can read, tamper with, or destroy all time series data in the deployment and create, modify, or revoke any other authorization token.

Take the following steps to reduce the risk if the product is internet facing:

1. Upgrade InfluxDB OSS 2.x to version 2.8.0 or later, which removes the ability to retrieve the operator token through the API and closes CVE-2024-30896.
2. If upgrade is not immediately possible, restrict membership of the default organization to a minimal set of trusted administrators and revoke the operator token, then create scoped replacement tokens for each client under non-default organizations.
3. Place the database behind a VPN or restrict network access to a known set of source addresses at the firewall or load balancer so that the API is not reachable from the public internet.
4. Serve the API over TLS and use scoped tokens with the minimum privileges required for each client instead of a shared administrator token.
5. Monitor authorization API calls and query logs for signs of token enumeration, such as unexpected calls to `/api/v2/authorizations` or `influx auth ls` invocations from unfamiliar sources."	"{""xdm.finding_sources"":[""CORTEX_ATTACK_SURFACE_MANAGEMENT""],""xdm.resolution_timer"":{""runStatus"":""running"",""startDate"":""2026-07-26 10:33:46""},""xdm.source.host.os_family"":""NO_HOST"",""xdm.source.location.country"":[""UNKNOWN""],""xdm.source.process.executable.signature_status"":[""SIGNATURE_UNAVAILABLE""],""xdm.target.host.ipv4_addresses"":[""8.146.235.119""],""xdm.target.host.ipv6_addresses"":[],""xdm.target.ipv4"":[""8.146.235.119""],""xdm.target.ipv6"":[],""xdm.target.port"":[9718],""xdm.target.process.executable.signature_status"":[""SIGNATURE_UNAVAILABLE""]}"	faf4c697a2ff6a0776601c7311fabd049108f7c39f0c887609d1ebabfe0bad20	Jul 26 2026 06:33:46	HIGH
Jul 26 2026 06:33:32	DOM:Posture,DS:PANW/ASM	1114145	Insecure OpenSSH (7.4) at 139.224.100.34:35164	"OpenSSH is a suite of open source secure networking utilities based on the Secure Shell (SSH) protocol, which provides a secure channel over an unsecured network in a client-server architecture. OpenSSH provides secure alternatives to unencrypted protocols like Telnet and FTP. This issue identifies versions of OpenSSH prior to 10.1, which may be exploited by vulnerabilities such as CVE-2024-6387, CVE-2023-25136, CVE-2021-28041, CVE-2021-41617, and CVE-2023-38408.

Note: This issue policy extracts OpenSSH's self reported version in the SSH Banner. Certain Linux/Unix vendors like Red Hat, CentOS, Debian, Ubuntu backport versions of open source packages like Apache, OpenSSH, PHP and BIND. The term backporting describes the action of taking a fix for a security flaw out of the most recent version of an upstream software package and applying that fix to an older version of the package distributed by these Linux/Unix vendors. If the SSH Banner reports the underlying OS, this policy implies a potentially insecure version which may be backported."	"OpenSSH versions under prior to 10.1 contain security vulnerabilities, such as remote code execution, privilege escalation, information disclosure and modification, as well as denial of service. When using OpenSSH ensure the following:
1. Backported versions require system access and cannot be done accurately from the Internet, it is recommended to verify vulnerabilities on the system through a change log or other means.
2. Outdated versions may no longer get security updates on a regular basis and are prime targets for attackers. It is recommended to upgrade to a supported version of OpenSSH and apply latest security updates. Latest versions can be found at [https://www.openssh.com/openbsd.html](https://www.openssh.com/openbsd.html)."	"{""xdm.finding_sources"":[""CORTEX_ATTACK_SURFACE_MANAGEMENT""],""xdm.resolution_timer"":{""runStatus"":""running"",""startDate"":""2026-07-26 10:33:43""},""xdm.source.host.os_family"":""NO_HOST"",""xdm.source.location.country"":[""UNKNOWN""],""xdm.source.process.executable.signature_status"":[""SIGNATURE_UNAVAILABLE""],""xdm.target.host.ipv4_addresses"":[""139.224.100.34""],""xdm.target.host.ipv6_addresses"":[],""xdm.target.ipv4"":[""139.224.100.34""],""xdm.target.ipv6"":[],""xdm.target.port"":[35164],""xdm.target.process.executable.signature_status"":[""SIGNATURE_UNAVAILABLE""]}"	a464e4424dc3ad5d0dc35e8c9db646c835a316cb61e0de71c0a79e25076461d5	Jul 26 2026 06:33:43	MEDIUM
Jul 26 2026 06:23:27	DOM:Posture,DS:PANW/ASM	1114063	SSH Server at 139.224.100.34:401	"Secure Shell (SSH) servers provide remote terminal access.

Having an exposed SSH server is risky because many of its default installation configurations are insecure and they're commonly exploited as a result. When exploitation succeeds, attackers can gain remote access into the network. While the exploit still needs a knowledgeable attacker, these servers are such a frequent target that there is material risk associated with public facing SSH Server."	"Having an SSH server accessible on the public internet poses several security risks, as it can potentially expose the system to unauthorized access, data breaches, and other cyberattacks.
To mitigate these risks and ensure the security of your SSH server, follow these steps:
1. Keep the SSH server software up-to-date with security patches and follow best practices for secure configuration and hardening. 2. Implement strong authentication mechanisms, such as public key authentication and multi-factor authentication, to prevent unauthorized access. 3. Limit the exposure of the SSH server to the public internet by using a VPN or implementing a bastion host to restrict access to authorized users only. 4. Regularly monitor system logs and network traffic for any signs of suspicious activity or potential intrusion attempts."	"{""xdm.finding_sources"":[""CORTEX_ATTACK_SURFACE_MANAGEMENT""],""xdm.resolution_timer"":{""runStatus"":""running"",""startDate"":""2026-07-26 10:23:47""},""xdm.source.host.os_family"":""NO_HOST"",""xdm.source.location.country"":[""UNKNOWN""],""xdm.source.process.executable.signature_status"":[""SIGNATURE_UNAVAILABLE""],""xdm.target.host.ipv4_addresses"":[""139.224.100.34""],""xdm.target.host.ipv6_addresses"":[],""xdm.target.ipv4"":[""139.224.100.34""],""xdm.target.ipv6"":[],""xdm.target.port"":[401],""xdm.target.process.executable.signature_status"":[""SIGNATURE_UNAVAILABLE""]}"	af1849d5e7023dcb5c13fc73b45868d4aa8f518cd658b9eceefc91b7d274db32	Jul 26 2026 06:23:47	MEDIUM
Jul 25 2026 20:42:06	DOM:Posture,DS:PANW/ASM	1112811	Embedded System (HikVision) at 8.130.54.67:4010	Embedded systems, such as web cameras or DVRs, were generally not designed to be accessible to the public Internet. Many of these devices are not regularly patched for vulnerabilities and are often compromised for use in botnets.	"Embedded systems are frequently misconfigured and a common target of bad actors. Often embedded systems are not adequately secured, and depending on network topology, they can serve as an entry point into your organization’s network.

Xpanse recommends securing embedded systems through these best practices:

1. Ensure the system is separate from your main network. This separation will prevent attackers who manage to break into your embedded systems from traversing into the main network, where more damage can be caused. The reverse can also happen, where attackers who manage to breach the main network can gain access to physical systems.
2. Do not publicly expose embedded system servers. If there is a strong business case for public exposure, it is strongly recommended to place this server behind a firewall and restrict TCP/IP ports to critical ones.
3. Make sure the OS is always up-to-date with the latest patches.
4. Enforce robust authentication and do not allow weak or reusable passwords.
5. Do not use inherently insecure protocols like Telnet.
6. Ensure the system is secured at boot time by using cryptographically-signed boot images. The same approach applies to securing the system at execution time, which confirms that all running services are signed and prevent malware from running on the system.

For more detailed guidelines, please review [CISA’s recommended best practices for securing embedded systems](https://www.cisa.gov/uscert/sites/default/files/ICSJWG-Archive/QNL_SEP_20/Protecting%20Embedded%20Systems%20-%20Verve%20Industrial_S508NC.pdf)."	"{""xdm.finding_sources"":[""CORTEX_ATTACK_SURFACE_MANAGEMENT""],""xdm.resolution_timer"":{""runStatus"":""running"",""startDate"":""2026-07-26 00:42:16""},""xdm.source.host.os_family"":""NO_HOST"",""xdm.source.location.country"":[""UNKNOWN""],""xdm.source.process.executable.signature_status"":[""SIGNATURE_UNAVAILABLE""],""xdm.target.host.ipv4_addresses"":[""8.130.54.67""],""xdm.target.host.ipv6_addresses"":[],""xdm.target.ipv4"":[""8.130.54.67""],""xdm.target.ipv6"":[],""xdm.target.port"":[4010],""xdm.target.process.executable.signature_status"":[""SIGNATURE_UNAVAILABLE""]}"	2c7226cf0320ef6fe418011cdc822a1d852c8c8a39bb84cb0dd43fca3468a726	Jul 25 2026 20:42:16	HIGH
Jul 25 2026 20:42:06	DOM:Posture,DS:PANW/ASM	1112810	Insecure OpenSSH (6.6.1) at 139.224.100.34:34443	"OpenSSH is a suite of open source secure networking utilities based on the Secure Shell (SSH) protocol, which provides a secure channel over an unsecured network in a client-server architecture. OpenSSH provides secure alternatives to unencrypted protocols like Telnet and FTP. This issue identifies versions of OpenSSH prior to 10.1, which may be exploited by vulnerabilities such as CVE-2024-6387, CVE-2023-25136, CVE-2021-28041, CVE-2021-41617, and CVE-2023-38408.

Note: This issue policy extracts OpenSSH's self reported version in the SSH Banner. Certain Linux/Unix vendors like Red Hat, CentOS, Debian, Ubuntu backport versions of open source packages like Apache, OpenSSH, PHP and BIND. The term backporting describes the action of taking a fix for a security flaw out of the most recent version of an upstream software package and applying that fix to an older version of the package distributed by these Linux/Unix vendors. If the SSH Banner reports the underlying OS, this policy implies a potentially insecure version which may be backported."	"OpenSSH versions under prior to 10.1 contain security vulnerabilities, such as remote code execution, privilege escalation, information disclosure and modification, as well as denial of service. When using OpenSSH ensure the following:
1. Backported versions require system access and cannot be done accurately from the Internet, it is recommended to verify vulnerabilities on the system through a change log or other means.
2. Outdated versions may no longer get security updates on a regular basis and are prime targets for attackers. It is recommended to upgrade to a supported version of OpenSSH and apply latest security updates. Latest versions can be found at [https://www.openssh.com/openbsd.html](https://www.openssh.com/openbsd.html)."	"{""xdm.finding_sources"":[""CORTEX_ATTACK_SURFACE_MANAGEMENT""],""xdm.resolution_timer"":{""runStatus"":""running"",""startDate"":""2026-07-26 00:42:11""},""xdm.source.host.os_family"":""NO_HOST"",""xdm.source.location.country"":[""UNKNOWN""],""xdm.source.process.executable.signature_status"":[""SIGNATURE_UNAVAILABLE""],""xdm.target.host.ipv4_addresses"":[""139.224.100.34""],""xdm.target.host.ipv6_addresses"":[],""xdm.target.ipv4"":[""139.224.100.34""],""xdm.target.ipv6"":[],""xdm.target.port"":[34443],""xdm.target.process.executable.signature_status"":[""SIGNATURE_UNAVAILABLE""]}"	41d97968b8921bfa775af501f89a64ed4c393bcecfb23d5fd909511694056964	Jul 25 2026 20:42:11	MEDIUM
