_time	xdm.issue.name	xdm.issue.id	xdm.issue.detection.method	_insert_time	xdm.issue.severity
Aug 05 2026 01:33:50	SSH Server at 34.26.149.183:22	129992	XPANSE	Aug 05 2026 01:34:05	MEDIUM
Aug 02 2026 11:43:50	RegreSSHion (8.9p1) (8.9p1-3ubuntu0.16) at 34.73.94.223:22	129053	XPANSE	Aug 02 2026 11:44:05	MEDIUM
Aug 02 2026 11:43:50	Insecure OpenSSH (8.9p1) (8.9p1-3ubuntu0.16) at 34.73.94.223:22	129056	XPANSE	Aug 02 2026 11:44:15	MEDIUM
Aug 07 2026 01:18:50	OpenSSH (10.0) at 35.227.13.160:22	130276	XPANSE	Aug 07 2026 01:19:19	MEDIUM
Aug 02 2026 11:43:50	OpenSSH (8.9p1) at 34.73.94.223:22	129054	XPANSE	Aug 02 2026 11:44:10	MEDIUM
Aug 01 2026 19:18:50	Insecure OpenSSH (9.2p1) (9.2p1-2+deb12u9) at 35.196.108.179:22	128510	XPANSE	Aug 01 2026 19:19:04	MEDIUM
Aug 02 2026 00:48:50	RegreSSHion (9.6p1) at 34.75.62.253:22	128687	XPANSE	Aug 02 2026 00:49:06	MEDIUM
Aug 07 2026 01:18:50	Insecure OpenSSH (10.0) at 35.227.13.160:22	130275	XPANSE	Aug 07 2026 01:19:15	MEDIUM
Aug 07 2026 01:18:50	OpenSSH (10.0) at 34.26.97.223:22	130271	XPANSE	Aug 07 2026 01:18:59	MEDIUM
Aug 02 2026 00:48:50	Insecure OpenSSH (9.6p1) at 34.75.62.253:22	128689	XPANSE	Aug 02 2026 00:49:13	MEDIUM
